composer,composerlast,year,perfs
"Stravinsky, Igor",Stravinsky,1914,4
"Bartok, Bela",Bartok,1914,0
"Hindemith, Paul",Hindemith,1914,0
"Prokofieff, Sergei",Prokofieff,1914,0
"Shostakovich, Dmitri",Shostakovich,1914,0
"Bartok, Bela",Bartok,1915,0
"Hindemith, Paul",Hindemith,1915,0
"Prokofieff, Sergei",Prokofieff,1915,0
"Shostakovich, Dmitri",Shostakovich,1915,0
"Stravinsky, Igor",Stravinsky,1915,0
"Stravinsky, Igor",Stravinsky,1916,1
"Bartok, Bela",Bartok,1916,0
"Hindemith, Paul",Hindemith,1916,0
"Prokofieff, Sergei",Prokofieff,1916,0
"Shostakovich, Dmitri",Shostakovich,1916,0
"Stravinsky, Igor",Stravinsky,1917,1
"Bartok, Bela",Bartok,1917,0
"Hindemith, Paul",Hindemith,1917,0
"Prokofieff, Sergei",Prokofieff,1917,0
"Shostakovich, Dmitri",Shostakovich,1917,0
"Prokofieff, Sergei",Prokofieff,1918,2
"Bartok, Bela",Bartok,1918,0
"Hindemith, Paul",Hindemith,1918,0
"Shostakovich, Dmitri",Shostakovich,1918,0
"Stravinsky, Igor",Stravinsky,1918,0
"Bartok, Bela",Bartok,1919,0
"Hindemith, Paul",Hindemith,1919,0
"Prokofieff, Sergei",Prokofieff,1919,0
"Shostakovich, Dmitri",Shostakovich,1919,0
"Stravinsky, Igor",Stravinsky,1919,0
"Stravinsky, Igor",Stravinsky,1920,4
"Bartok, Bela",Bartok,1920,0
"Hindemith, Paul",Hindemith,1920,0
"Prokofieff, Sergei",Prokofieff,1920,0
"Shostakovich, Dmitri",Shostakovich,1920,0
"Stravinsky, Igor",Stravinsky,1921,5
"Prokofieff, Sergei",Prokofieff,1921,3
"Bartok, Bela",Bartok,1921,0
"Hindemith, Paul",Hindemith,1921,0
"Shostakovich, Dmitri",Shostakovich,1921,0
"Stravinsky, Igor",Stravinsky,1922,6
"Bartok, Bela",Bartok,1922,1
"Hindemith, Paul",Hindemith,1922,0
"Prokofieff, Sergei",Prokofieff,1922,0
"Shostakovich, Dmitri",Shostakovich,1922,0
"Stravinsky, Igor",Stravinsky,1923,14
"Bartok, Bela",Bartok,1923,0
"Hindemith, Paul",Hindemith,1923,0
"Prokofieff, Sergei",Prokofieff,1923,0
"Shostakovich, Dmitri",Shostakovich,1923,0
"Stravinsky, Igor",Stravinsky,1924,35
"Prokofieff, Sergei",Prokofieff,1924,4
"Bartok, Bela",Bartok,1924,2
"Hindemith, Paul",Hindemith,1924,1
"Shostakovich, Dmitri",Shostakovich,1924,0
"Stravinsky, Igor",Stravinsky,1925,17
"Hindemith, Paul",Hindemith,1925,4
"Prokofieff, Sergei",Prokofieff,1925,4
"Bartok, Bela",Bartok,1925,2
"Shostakovich, Dmitri",Shostakovich,1925,0
"Stravinsky, Igor",Stravinsky,1926,10
"Prokofieff, Sergei",Prokofieff,1926,9
"Bartok, Bela",Bartok,1926,3
"Hindemith, Paul",Hindemith,1926,3
"Shostakovich, Dmitri",Shostakovich,1926,0
"Stravinsky, Igor",Stravinsky,1927,17
